yjdsq 1 "Kale, raw" "Oil, coconut" "Yogurt, Greek, plain, nonfat" Totals "Unit per 100 g dry matter" Recommended
"Amount, g" 100.0 100.0 100.0 100.0
Water 0 89.6 0.03 85.0 174.63
Energy 0 35.37 831.72 61.18 928.27
Protein 0 2.92 0.0 10.3 13.22
Arginine 6.0 0 0 0.363 6.3629999999999995
Histidine 0 0 0 0.293 0.293
Isoleucine 0 0 0 0.527 0.527
Leucine 0 0 0 1.03 1.03
Lysine 0 0 0 0.833 0.833
Methionine 0 0 0 0.293 0.293
"Methionine + cystine" 0 0 0 0.376 0.376
Phenylalanine 0 0 0 0.513 0.513
"Phenylalanine + tyrosine" 9.0 0 0 1.0230000000000001 10.023
Threonine 0 0 0 0.41 0.41
Tryptophan 0 0 0 0.133 0.133
Valine 0 0 0 0.667 0.667
Taurine 0 0 0 0 0
"Total lipid (fat)" 0 1.49 99.1 0.37 100.96
"Linoleic acid (omega-6)" 0 0 1.68 0.01 1.69
"Arachidonic acid (omega-6)" 0 0 0.0 0.0 0.0
"Alpha-linolenic acid (omega-3)" 0 0 0.02 0.001 0.021
"EPA + DHA (omega-3)" 0 0 0 0 0
"Calcium, Ca" 0 254.0 1.0 111.0 366.0
"Phosphorus, P" 0 55.0 0.0 136.0 191.0
"Potassium, K" 0 348.0 0.0 141.0 489.0
"Sodium, Na" 0 53.0 0.0 36.0 89.0
Chloride 0 0 0 0 0
"Magnesium, Mg" 0 32.7 0.0 10.7 43.400000000000006
"Copper, Cu" 0 0.053 0.0 0.017 0.07
"Iodine, I" 0 0 0 0 0
"Iron, Fe" 0 1.6 0.05 0.07 1.7200000000000002
"Manganese, Mn" 0 0.92 0.0 0.009 0.929
"Selenium, Se" 0 0 0 9.9 9.9
"Zinc, Zn" 0 0.39 0.02 0.53 0.9400000000000001
"Vitamin A" 0 0 0 0 0
"Vitamin D3 (cholecalciferol)" 0 0 0 0.0 0.0
"Vitamin E (alpha-tocopherol)" 0 0.66 0.11 0.01 0.78
Thiamin 0 0.113 0 0.022 0.135
Riboflavin 0 0.347 0 0.281 0.628
"Pantothenic acid" 0 0.37 0 0.332 0.702
"Vitamin B-6" 0 0.147 0 0.064 0.211
"Vitamin B-12" 0 0 0 0.7 0.7
Niacin 0 1.18 0 0.211 1.391
"Folate, total" 0 62.0 0 0 62.0
Biotin 0 0 0 0 0
"Choline, total" 0 0 0 15.1 15.1
"Vitamin K (phylloquinone)" 0 390.0 0.6 0.0 390.6
"Vitamin A, RAE" 0 241.0 0 1.0 242.0
